time my_pulse
2.869866999999999846e-08 -3.724938385526975537e+01
2.870867999999999976e-08 -2.620751668250539979e+01
2.871868999999999774e-08 -1.299009796090769342e+01
2.872869999999999903e-08 1.309030948821150453e+00
2.873871000000000032e-08 1.550437500593365137e+01
2.874871999999999831e-08 2.841701347122180721e+01
2.875872999999999960e-08 3.897258721386929636e+01
2.876873999999999758e-08 4.629089522543441149e+01
2.877874999999999887e-08 4.975961189368337756e+01
2.878876000000000017e-08 4.908592540619440570e+01
2.879876999999999815e-08 4.432170988344886098e+01
2.880877999999999944e-08 3.586003140617308560e+01
2.881878999999999742e-08 2.440317061943130383e+01
2.882879999999999872e-08 1.090472421275995529e+01
2.883881000000000001e-08 -3.509474620697572433e+00
2.884881999999999799e-08 -1.763508399107719882e+01
2.885882999999999928e-08 -3.028984143405259388e+01
2.886883999999999727e-08 -4.041261494469936366e+01
2.887884999999999856e-08 -4.715261068071610850e+01
2.888885999999999985e-08 -4.994121933489064702e+01
2.889886999999999783e-08 -4.854040643321570769e+01
2.890887999999999913e-08 -4.306349427603073110e+01
2.891888999999999711e-08 -3.396648469615210786e+01
2.892889999999999840e-08 -2.201054080702775906e+01
2.893890999999999969e-08 -8.198675646426682562e+00
2.894891999999999768e-08 6.308118769476485532e+00
2.895892999999999897e-08 2.028831260306119688e+01
2.896894000000000026e-08 3.256268465984535965e+01
2.897894999999999824e-08 4.209391667063917453e+01
2.898895999999999954e-08 4.807451384533423067e+01
2.899896999999999752e-08 4.999557894797014512e+01
2.900897999999999881e-08 4.769055272080486674e+01
2.901899000000000010e-08 4.135012538996013376e+01
2.902899999999999809e-08 3.150694802944396145e+01
2.903900999999999938e-08 1.899132527229580703e+01
2.904901999999999736e-08 4.861536526120303847e+00
2.905902999999999865e-08 -9.685398256463850331e+00
2.906903999999999995e-08 -2.341500598219636942e+01
2.907904999999999793e-08 -3.516014127330549144e+01
2.908905999999999922e-08 -4.392036594574212671e+01
2.909906999999999721e-08 -4.894745224058669919e+01
2.910907999999999850e-08 -4.980967860797320412e+01
2.911908999999999979e-08 -4.642936098710372761e+01
2.912909999999999777e-08 -3.909031954912899209e+01
2.913910999999999906e-08 -2.841453101218051103e+01
2.914911999999999705e-08 -1.530984387818521775e+01
2.915912999999999834e-08 -8.931142659065308687e-01
2.916913999999999963e-08 1.360475948396724633e+01
2.917914999999999762e-08 2.694384808334478976e+01
2.918915999999999891e-08 3.798129743725827723e+01
2.919917000000000020e-08 4.576944516691729348e+01
2.920917999999999818e-08 4.963750762231360625e+01
2.921918999999999947e-08 4.924976935965278102e+01
2.922919999999999746e-08 4.463519265546451464e+01
2.923920999999999875e-08 3.618579694399800672e+01
2.924922000000000004e-08 2.462383060186149564e+01
2.925922999999999803e-08 1.094044176504580612e+01
2.926923999999999932e-08 -3.688980139457324281e+00
2.927924999999999730e-08 -1.800558832760416550e+01
2.928925999999999859e-08 -3.077536262504342446e+01
2.929926999999999988e-08 -4.089558309643203415e+01
2.930927999999999787e-08 -4.749029808394415397e+01
2.931928999999999916e-08 -4.998650125535092315e+01
2.932929999999999714e-08 -4.816436280788096269e+01
2.933930999999999844e-08 -4.217707435370190439e+01
2.934931999999999973e-08 -3.253847695193359613e+01
2.935932999999999771e-08 -2.007942350109870944e+01
2.936933999999999900e-08 -5.876540180531133473e+00
2.937935000000000029e-08 8.840538882502594120e+00
2.938935999999999828e-08 2.279549489164084619e+01
2.939936999999999957e-08 3.477602446150754645e+01
2.940937999999999755e-08 4.373931465360742266e+01
2.941938999999999885e-08 4.890310318096580033e+01
2.942940000000000014e-08 4.981434775237126189e+01
2.943940999999999812e-08 4.638944291292897759e+01
2.944941999999999941e-08 3.892237497712819305e+01
2.945942999999999740e-08 2.805998502263332028e+01
2.946943999999999869e-08 1.474637579655378516e+01
2.947944999999999998e-08 1.412010591236287083e-01
2.948945999999999796e-08 -1.448112171373444390e+01
2.949946999999999926e-08 -2.784253581993150206e+01
2.950947999999999724e-08 -3.877312497099556055e+01
2.951948999999999853e-08 -4.631376624180747825e+01
2.952949999999999982e-08 -4.980063106555736852e+01
2.953950999999999781e-08 -4.892406054815532457e+01
2.954951999999999910e-08 -4.375655633403574996e+01
2.955952999999999708e-08 -3.474731600369700146e+01
2.956953999999999837e-08 -2.268366914022979230e+01
2.957954999999999967e-08 -8.622680844628947128e+00
2.958955999999999765e-08 6.201172501693347883e+00
2.959956999999999894e-08 2.048421878579972599e+01
2.960958000000000023e-08 3.296822596069782207e+01
2.961958999999999822e-08 4.255137985719731120e+01
2.962959999999999951e-08 4.838580433680023418e+01
2.963960999999999749e-08 4.995296888513429678e+01
2.964961999999999878e-08 4.711024358302289983e+01
2.965963000000000008e-08 4.010438147603711201e+01
2.966963999999999806e-08 2.955061429580003818e+01
2.967964999999999935e-08 1.637908432289793836e+01
2.968965999999999733e-08 1.753234757705117497e+00
2.969966999999999863e-08 -1.303271443007756680e+01
2.970967999999999992e-08 -2.666819290197378578e+01
2.971968999999999790e-08 -3.794250114317978273e+01
2.972969999999999919e-08 -4.585251565704982113e+01
2.973970999999999718e-08 -4.969227904217846969e+01
2.974971999999999847e-08 -4.911644444532438314e+01
2.975972999999999976e-08 -4.417183476582005852e+01
2.976973999999999774e-08 -3.529419030560730164e+01
2.977974999999999904e-08 -2.327026666474006689e+01
2.978976000000000033e-08 -9.168533853843738868e+00
2.979976999999999831e-08 5.755457724284082310e+00
2.980977999999999629e-08 2.017069138708366083e+01
2.981978999999999759e-08 3.278937256312637771e+01
2.982979999999999888e-08 4.248211043489597216e+01
2.983981000000000017e-08 4.837927953855019325e+01
2.984982000000000146e-08 4.994944008997489249e+01
2.985982999999999614e-08 4.704771068717473526e+01
2.986983999999999743e-08 3.992964883057728542e+01
2.987984999999999872e-08 2.922926836589216393e+01
2.988986000000000001e-08 1.590303499635435358e+01
2.989987000000000131e-08 1.144743779731283828e+00
2.990987999999999598e-08 -1.372118004014854442e+01
2.991988999999999727e-08 -2.735844297870527697e+01
2.992989999999999856e-08 -3.853906774881394171e+01
2.993990999999999986e-08 -4.625418586243601737e+01
2.994992000000000115e-08 -4.980542343841361230e+01
2.995992999999999582e-08 -4.886857148518382132e+01
2.996993999999999711e-08 -4.352369620304308739e+01
2.997994999999999841e-08 -3.424884899404055005e+01
2.998995999999999970e-08 -2.187781154487061031e+01
2.999997000000000099e-08 -7.525563983847291638e+00
3.000997999999999567e-08 7.511900643655682330e+00
3.001998999999999696e-08 2.187444196355514237e+01
3.002999999999999825e-08 3.426079499099363090e+01
3.004000999999999954e-08 4.354662372492113320e+01
3.005002000000000083e-08 4.888688209745548363e+01
3.006002999999999551e-08 4.979313665620991003e+01
3.007003999999999680e-08 4.617873878620219585e+01
3.008004999999999809e-08 3.836762508805485794e+01
3.009005999999999938e-08 2.706581354427331121e+01
3.010007000000000068e-08 1.329805327974208140e+01
3.011007999999999535e-08 -1.684731069846657769e+00
3.012008999999999664e-08 -1.651887433235464187e+01
3.013009999999999793e-08 -2.985201981523132986e+01
3.014010999999999923e-08 -4.046650471577102337e+01
3.015012000000000052e-08 -4.739081646834006278e+01
3.016013000000000181e-08 -4.998889593924658925e+01
3.017013999999999649e-08 -4.801904450519401735e+01
3.018014999999999778e-08 -4.165693698168841053e+01
3.019015999999999907e-08 -3.148050412583648949e+01
3.020017000000000036e-08 -1.841793115416227877e+01
3.021018000000000165e-08 -3.663404411844612518e+00
3.022018999999999633e-08 1.143178406744611664e+01
3.023019999999999762e-08 2.548287042803338309e+01
3.024020999999999891e-08 3.719869181841426808e+01
3.025022000000000020e-08 4.550053438781590387e+01
3.026023000000000150e-08 4.962179907822763880e+01
3.027023999999999617e-08 4.917924597619426663e+01
3.028024999999999746e-08 4.420915530580299446e+01
3.029025999999999875e-08 3.516494696887131255e+01
3.030027000000000005e-08 2.287633897721241638e+01
3.031028000000000134e-08 8.473673584098074585e+00
